AustralianPort,ForeignPort,Passengers_Total,Year,Month_num,Route
Perth,San Francisco,84,1985,2,Perth → San Francisco
Perth,Singapore,13715,1985,2,Perth → Singapore
Perth,Tokyo,38,1985,2,Perth → Tokyo
Port Hedland,Denpasar,245,1985,2,Port Hedland → Denpasar
Sydney,Abu Dhabi,612,1985,2,Sydney → Abu Dhabi
Sydney,Amsterdam,1252,1985,2,Sydney → Amsterdam
Sydney,Apia,265,1985,2,Sydney → Apia
Sydney,Athens,2608,1985,2,Sydney → Athens
Sydney,Auckland,43660,1985,2,Sydney → Auckland
Sydney,Bahrain,374,1985,2,Sydney → Bahrain
Sydney,Bandar Seri Begawan,66,1985,2,Sydney → Bandar Seri Begawan
Sydney,Bangkok,6225,1985,2,Sydney → Bangkok
Sydney,Beijing,2488,1985,2,Sydney → Beijing
Sydney,Belgrade,2111,1985,2,Sydney → Belgrade
Sydney,Bombay,2453,1985,2,Sydney → Bombay
Sydney,Christchurch,13072,1985,2,Sydney → Christchurch
Sydney,Colombo,311,1985,2,Sydney → Colombo
Sydney,Denpasar,4417,1985,2,Sydney → Denpasar
Sydney,Dubai,148,1985,2,Sydney → Dubai
Sydney,Frankfurt,2445,1985,2,Sydney → Frankfurt
Sydney,Guangzhou,754,1985,2,Sydney → Guangzhou
Sydney,Harare,1047,1985,2,Sydney → Harare
Sydney,Hong Kong,14596,1985,2,Sydney → Hong Kong
Sydney,Honolulu,7707,1985,2,Sydney → Honolulu
Sydney,Houston,93,1985,2,Sydney → Houston
Sydney,Jakarta,4351,1985,2,Sydney → Jakarta
Sydney,Johannesburg,1325,1985,2,Sydney → Johannesburg
Sydney,Kuala Lumpur,4339,1985,2,Sydney → Kuala Lumpur
Sydney,London,7627,1985,2,Sydney → London
Sydney,Los Angeles,10007,1985,2,Sydney → Los Angeles
Sydney,Manchester,721,1985,2,Sydney → Manchester
Sydney,Manila,5089,1985,2,Sydney → Manila
Sydney,Mauritius,341,1985,2,Sydney → Mauritius
Sydney,Muscat,399,1985,2,Sydney → Muscat
Sydney,Nadi,8044,1985,2,Sydney → Nadi
Sydney,Nauru,116,1985,2,Sydney → Nauru
Sydney,New York,220,1985,2,Sydney → New York
Sydney,Noumea,2461,1985,2,Sydney → Noumea
Sydney,Papeete,2625,1985,2,Sydney → Papeete
Sydney,Paris,559,1985,2,Sydney → Paris
Sydney,Port Moresby,3395,1985,2,Sydney → Port Moresby
Sydney,Port Vila,1340,1985,2,Sydney → Port Vila
